,Unnamed: 0,Year,GNP,GNP_PriceIndexLevel,date,symbol,retainedEarnings,totalAssets,totalLiabilities,totalCurrentAssets,totalCurrentLiabilities,shortTermDebt,longTermDebt,workingCapital,Strike_Price,revenue,ebit,depreciationAndAmortization,interestExpense,interestIncome,netIncome,deferredIncomeTax,fundFromOperations,marketCapitalization,stockPrice,numberOfShares,Altman_A,Altman_B,Altman_C,Altman_D,Altman_E,Ohlson_A,Ohlson_B,Ohlson_C,Ohlson_D,Ohlson_E,Ohlson_F,Ohlson_G,netIncome_Lag1,netIncome_Lag2,netLoss_2Years,Ohlson_H,netIncome_Lag1_Sum,netIncome_Lag1_Diff,Ohlson_I
68,68,2023,27820.7545,2938.6108416166567,2023-12-30,AMD,723000000,67885000000,11993000000,16768000000,6689000000,857000000,1717000000,10079000000,1715500000.0,22680000000,598000000,3551000000,106000000,206000000,854000000,-1019000000,3386000000,237919740000,147.41,1614000000,0.14847168004713854,0.010650364587169477,0.008809015246372542,19.838217293421163,0.33409442439419607,23101051.36706483,0.17666642115342124,0.14847168004713854,0.39891459923664124,0,0.012580098696324666,0.28233135995997666,1320000000.0,3162000000.0,4482000000.0,0,2174000000.0,-466000000.0,-0.21435142594296228
88,88,2024,29243.108,3088.849161562702,2024-12-28,AMD,2364000000,69226000000,11658000000,19049000000,7281000000,109000000,1721000000,11768000000,969500000.0,25785000000,2081000000,3177000000,92000000,182000000,1641000000,-1163000000,3655000000,202807800000,125.19,1620000000,0.16999393291537862,0.034149019154652877,0.030060959755005345,17.39644879053011,0.3724756594343166,22411583.20757151,0.16840493456215871,0.16999393291537862,0.38222478870281906,0,0.02370496634212579,0.31351861382741464,854000000.0,1320000000.0,2174000000.0,0,2495000000.0,787000000.0,0.3154308617234469
49,49,2022,26156.16425,2762.7858849103472,2022-12-31,PYPL,18954000000,78624000000,58350000000,57424000000,45008000000,0,10417000000,12416000000,5208500000.0,27518000000,3670000000,1317000000,304000000,174000000,2419000000,-811000000,2925000000,82187880000,71.22,1154000000,0.15791615791615793,0.24107142857142858,0.04667785917785918,1.40853264781491,0.3499949124949125,28458231.392242458,0.7421398046398047,0.15791615791615793,0.7837837837837838,0,0.030766687016687017,0.05012853470437018,4169000000.0,4202000000.0,8371000000.0,0,6588000000.0,-1750000000.0,-0.26563448694596237
69,69,2023,27820.7545,2938.6108416166567,2023-12-31,PYPL,23200000000,82166000000,61115000000,62569000000,48466000000,0,9676000000,14103000000,4838000000.0,29771000000,5758000000,1072000000,347000000,480000000,4246000000,-668000000,4650000000,67735230000,61.41,1103000000,0.17164033785263977,0.2823552320911326,0.07007764768882506,1.1083241430090813,0.36232748338728915,27960830.619816586,0.7437991383297228,0.17164033785263977,0.7746008406718983,0,0.051675875666334005,0.0760860672502659,2419000000.0,4169000000.0,6588000000.0,0,6665000000.0,1827000000.0,0.2741185296324081
89,89,2024,29243.108,3088.849161562702,2024-12-31,PYPL,27347000000,81611000000,61194000000,61092000000,48376000000,0,9879000000,12716000000,4939500000.0,31797000000,5711000000,1032000000,382000000,662000000,4147000000,231000000,5410000000,87825150000,85.35,1029000000,0.1558123292203257,0.33508963252502727,0.06997831174719094,1.4351921757035004,0.3896165958020365,26421167.150393184,0.7498253911850118,0.1558123292203257,0.7918549073528449,0,0.05081422847410275,0.08840736019871229,4246000000.0,2419000000.0,6665000000.0,0,8393000000.0,-99000000.0,-0.011795543905635648
50,50,2022,26156.16425,2762.7858849103472,2022-10-01,DIS,43636000000,203631000000,95253000000,29098000000,29073000000,3721000000,45299000000,25000000,26370500000.0,82722000000,6834000000,5163000000,1549000000,152000000,3553000000,200000000,8916000000,171869260000,94.33,1822000000,0.00012277109084569637,0.2142895728057123,0.03356070539357956,1.8043448500309702,0.40623480707750786,73704951.6258868,0.4677725886530047,0.00012277109084569637,0.9991408344216097,0,0.01744822743099037,0.09360335107555667,2536000000.0,-2442000000.0,94000000.0,0,6089000000.0,1017000000.0,0.16702249958942356
70,70,2023,27820.7545,2938.6108416166567,2023-09-30,DIS,46093000000,205579000000,92567000000,32763000000,31139000000,5107000000,42101000000,1624000000,26157500000.0,88898000000,6742000000,5369000000,1458000000,424000000,3390000000,-1346000000,7413000000,148159400000,81.05,1828000000,0.00789963955462377,0.22421064408329644,0.03279517849585804,1.6005639158663454,0.4324274366545221,69957885.23222834,0.4502745903034843,0.00789963955462377,0.9504318896315966,0,0.016490011139270063,0.0800825348126222,3553000000.0,2536000000.0,6089000000.0,0,6943000000.0,-163000000.0,-0.023476883191703875
90,90,2024,29243.108,3088.849161562702,2024-09-28,DIS,49722000000,196219000000,90697000000,25241000000,34599000000,7619000000,38970000000,-9358000000,27104000000.0,91361000000,9639000000,4990000000,1447000000,406000000,5773000000,-821000000,9942000000,175218250000,96.01,1825000000,-0.04769160988487353,0.2534005371549136,0.04912368323149134,1.9319078911099596,0.46560730612224094,63524953.708237864,0.46222333209322236,-0.04769160988487353,1.3707460084782694,0,0.02942120793603066,0.10961773818318137,3390000000.0,3553000000.0,6943000000.0,0,9163000000.0,2383000000.0,0.26006766342900794
51,51,2022,26156.16425,2762.7858849103472,2022-12-31,T,-19415000000,402853000000,296396000000,33108000000,56173000000,7597000000,128423000000,-23065000000,71808500000.0,120741000000,3045000000,18021000000,6139000000,0,-6874000000,2975000000,14122000000,131926060000,18.41,7166000000,-0.05725413488294738,-0.04819375802091582,0.007558588368461945,0.4451006761224848,0.2997147843009733,145814050.3034576,0.7357423179174538,-0.05725413488294738,1.6966594176634047,0,-0.017063296040987656,0.04764571721615676,21479000000.0,21479000000.0,42958000000.0,0,28353000000.0,-28353000000.0,-1.0
71,71,2023,27820.7545,2938.6108416166567,2023-12-31,T,-5015000000,407060000000,287645000000,36458000000,51127000000,9477000000,127854000000,-14669000000,73404000000.0,122428000000,26540000000,18777000000,6692000000,0,14400000000,3037000000,36214000000,120497180000,16.78,7181000000,-0.036036456542033114,-0.012320051098118213,0.06519923352822679,0.41890935006692276,0.3007615584926055,138521233.99097607,0.7066402987274604,-0.036036456542033114,1.402353392945307,0,0.03537562030167543,0.12589824262545846,-6874000000.0,21479000000.0,14605000000.0,0,21274000000.0,21274000000.0,1.0
